record_num,pre_issuer,post_issuer,pre_description,post_description,pre_asset_type,post_asset_type
1963,"VANGUARD TARGET RET 2020 TRUST COMMON / COLLECTIVE TRUSTS 144,138,241",Vanguard,,Target Retirement 2020 Trust,,
1971,"VANGUARD TARGET RET 2060 TRUST COMMON / COLLECTIVE TRUSTS 414,296,639",Vanguard,,Target Retirement 2060 Trust,,
1972,"VANGUARD TARGET RET 2065 TRUST COMMON / COLLECTIVE TRUSTS 145,105,787",Vanguard,,Target Retirement 2065 Trust,,
1973,"VANGUARD TARGET RET 2070 TRUST COMMON / COLLECTIVE TRUSTS 20,631,721",Vanguard,,Target Retirement 2070 Trust,,
1981,Vanguard Value Fund,Vanguard,,Vanguard Value Fund,,
1982,Vanguard Federal +C60,Vanguard,,Vanguard Federal,,
1983,Self Directed Brokerage Accounts,Self-Directed Brokerage Account,,Self Directed Brokerage Accounts,,
1991,Vanguard Target 2020 Fund,Vanguard,,Target 2020 Fund,Target Date Fund,Mutual Fund
1992,Vanguard Target 2025 Fund,Vanguard,,Target 2025 Fund,Target Date Fund,Mutual Fund
1993,Vanguard Target 2030 Fund,Vanguard,,Target 2030 Fund,Target Date Fund,Mutual Fund
2001,Vanguard Target 2070 Fund,Vanguard,,Target 2070 Fund,Target Date Fund,Mutual Fund
2002,Vanguard Target Date Income,Vanguard,,Target Date Income Fund,Target Date Fund,Mutual Fund
2003,Vanguard Target Retirement Income & Growth,Vanguard,,Target Retirement Income & Growth Fund,Target Date Fund,Mutual Fund
2011,VANGUARD TR INCOME & GROWTH TR,Vanguard,COMMON / COLLECTIVE TRUSTS,Income & Growth Trust,,
2012,LOAN FUND,Loan Fund,LOANS,Participant Loans,Mutual Fund,Other
2013,VANGUARD FEDERAL MONEY MKT INV,Vanguard,MONEY MARKET,Federal Money Market Fund Investor Shares,,
2021,VANGUARD US TREASURY MON,Vanguard,MUTUAL FUNDS,U.S. Treasury Money Market Fund,Mutual Fund,Money Market Fund
2022,VANGUARD VALUE INDEX FD INSTL,Vanguard,MUTUAL FUNDS,Value Index Fund Institutional,Mutual Fund,Index Fund
2023,SELF-DIRECT ACCT,Self-Directed Brokerage Account,OTHER ASSETS,Self-Directed Account,Other,Self-Directed Brokerage Account
2031,"VANGUARD TARGET RET 2025 TRUST COMMON / COLLECTIVE TRUSTS 191,303,942",Vanguard,,Target Retirement 2025 Trust,,
2032,"VANGUARD TARGET RET 2030 TRUST COMMON / COLLECTIVE TRUSTS 583,136,963",Vanguard,,Target Retirement 2030 Trust,,
2033,"VANGUARD TARGET RET 2035 TRUST COMMON / COLLECTIVE TRUSTS 475,390,752",Vanguard,,Target Retirement 2035 Trust,,
2041,Schwab 401(k) Equity Unit Fund,Schwab,,401(k) Equity Unit Fund,,
2042,Schwab Employee Stock Option Plan Equity Unit Fund,Schwab,,Employee Stock Option Plan Equity Unit Fund,,
2043,Schwab Ameritrade Converted Equity Unit Fund,Schwab,,Ameritrade Converted Equity Unit Fund,,
2051,Schwab Fundamental International Small Equity,Schwab,,Fundamental International Small Company Index Fund,Mutual Fund,Index Fund
2053,VANGUARD TRSY MONEY MKT INVSTR,Vanguard,Money Market / Cash Equivalent,Treasury Money Market Fund Investor Shares,,
2054,FIDELITY SMALL CAP INDEX,Fidelity,Registered Investment Company,Small Cap Index Fund,Mutual Fund,Index Fund
